indx,Year,Month,t,tc,p,tn,pn,td,pd
205,1993,3,185.115340909091,174.884659090909,200.60227272727298,12.2206174948489,-55.8110505344794,54.5835969000429,-60.68809476577393
206,1993,4,208.436477987421,151.563522012579,165.96855345912,10.240550865493999,-65.4802020984524,138.936112416476,-66.42537462703343
207,1993,5,173.257037037037,173.257037037037,148.696296296296,11.6724241943469,-70.0082588690125,115.66294156812799,50.914316243518
208,1993,6,205.932110091743,154.067889908257,127.917431192661,9.86024352444223,-99.22340110364841,21.411388416857,-11.053897849453723
209,1993,7,182.41616766467098,177.58383233532902,145.197604790419,7.20136495238938,-107.770865179612,96.11006608849159,
210,1993,8,182.15317460317502,177.84682539682498,168.698412698413,8.70455474450814,-141.978977593412,109.220272997397,27.893042359949213
211,1993,9,208.612903225806,151.387096774194,221.032258064516,8.95542338954341,-156.859616158851,125.755759576889,
212,1993,10,193.90569105691102,166.094308943089,201.0,11.1562151818594,-18.801272356383897,122.53870117779199,
213,1993,11,159.81818181818198,159.81818181818198,201.92207792207802,11.5699825606181,171.186608840611,139.090159274478,-19.00140956045744
214,1993,12,198.49243697479,161.50756302521,174.806722689076,15.1827788664154,171.91720170368,44.8599348322009,-18.131793199000608
215,1994,1,199.483458646617,160.51654135338302,130.586466165414,15.605904515359,161.547194024259,22.3166409493114,23.5867571728934
216,1994,2,180.8,179.2,171.428571428571,14.6630110173845,148.234120586845,57.4659857197756,8.711565857274266
217,1994,3,207.77,152.23,149.82,15.316501492697899,150.30033427856898,77.9526602876626,-55.713922980038106
218,1994,4,185.70625,174.29375,119.015625,14.0559917076075,142.49005167806,85.3137789853153,
219,1994,5,166.52972972973,166.52972972973,171.09459459459498,15.7199848272999,129.331183461036,1.94555685487314,1.2427556305546634
220,1994,6,192.915476190476,167.084523809524,152.440476190476,12.2054461255156,121.16888050994,126.22532759739599,8.512920525412763
221,1994,7,192.643269230769,167.356730769231,179.31730769230802,9.771984514859179,106.009072982595,60.5372419903801,-60.7275278474194
222,1994,8,182.14729729729697,177.85270270270303,213.66216216216202,7.083954178668081,144.583327339172,64.3566236085402,-1.9486244499119836
223,1994,9,202.797435897436,157.202564102564,127.807692307692,6.17779552065318,147.783220741273,11.0690735184785,6.3723247124904185
224,1994,10,181.17758620689702,178.82241379310298,178.76724137931,7.060455906637549,159.938882996461,121.23786323827,-0.31122701911788836
225,1994,11,181.90135135135102,178.09864864864898,161.418918918919,7.356073957402611,165.701429596699,124.86323706768299,
226,1994,12,188.226865671642,171.773134328358,171.477611940299,3.00968041506411,127.149793312101,51.0543520358328,23.912451660761707
227,1995,1,178.76571428571398,178.76571428571398,107.114285714286,3.6692376290203397,166.547679438747,13.9824285338496,-4.429296916717235
228,1995,2,181.503296703297,178.496703296703,147.824175824176,2.9073751250105797,138.303442754913,46.26596347384171,-3.9437872043783915
229,1995,3,188.738202247191,171.261797752809,196.87640449438203,4.75822513459296,54.5031455353181,57.6023691807246,-75.47502981007733
230,1995,4,211.32142857142898,148.678571428571,98.42857142857142,2.94419254210895,-16.2505135557796,59.2076902037758,
231,1995,5,173.335714285714,173.335714285714,79.8333333333333,3.0121471070451302,-15.6624731003063,34.4084508742608,
232,1995,6,193.212765957447,166.787234042553,131.404255319149,3.7249095312326097,-25.7995006320433,17.4444602851941,2.007467977848845
233,1995,7,181.14888888888902,178.85111111111098,167.422222222222,5.85352469953973,-24.7725640038225,144.119364303416,17.48504091889445
234,1995,8,183.251020408163,176.748979591837,142.326530612245,4.9805337209235905,-38.479961622178294,86.2690527149806,46.61315390231654
235,1995,9,187.616666666667,172.383333333333,71.0277777777778,3.15546774481965,-53.9903494850002,23.802077803021998,14.102009912345464
236,1995,10,190.359016393443,169.640983606557,125.147540983607,2.56308041988759,-95.8984913772636,146.974305635772,-0.4142774133828314
237,1995,11,165.216666666667,165.216666666667,120.11111111111099,3.7536817509905296,-32.958254287474105,54.2039493006273,
